S.No,CPU-0,CPU-1,CPU-2,CPU-3,CPU-4,CPU-5,CPU-6,CPU-7,CPU-8
289,41.84,33.11,0.0,0.0,1.9,0.0,8.8,4.65
290,31.63,22.31,6.92,0.0,4.88,0.0,10.58,10.38
291,37.3,0.5,23.63,0.0,0.62,0.0,17.94,10.09
292,34.54,0.01,16.47,0.01,10.11,0.01,14.49,8.51
293,27.64,17.93,13.63,0.01,5.04,0.01,7.89,14.21
294,34.91,29.51,6.03,0.0,0.0,0.0,8.14,11.54
295,30.02,0.0,21.35,0.0,15.61,0.0,17.53,3.37
296,38.71,5.75,15.54,0.0,0.0,0.0,10.43,12.04
297,32.24,20.65,0.0,0.0,0.64,0.0,8.34,17.66
298,31.33,23.1,0.01,0.0,3.69,0.0,16.28,6.57
299,30.94,13.25,0.0,0.0,9.4,0.0,18.53,8.18
300,34.27,38.12,0.0,0.0,1.11,0.0,5.97,7.9
301,28.92,25.21,0.0,0.0,2.69,0.0,18.64,7.73
302,27.78,5.44,0.0,0.0,1.18,0.0,21.03,19.48
303,22.6,5.37,0.0,0.0,18.91,0.0,19.39,10.59
304,28.23,8.24,4.68,0.0,13.1,0.0,12.18,11.05
305,28.04,1.18,7.4,0.01,0.94,0.01,15.92,22.63
306,26.63,5.07,11.39,0.01,0.39,0.01,19.71,14.74
307,41.04,0.0,19.82,0.0,7.44,0.0,11.42,5.32
308,30.77,4.51,16.68,0.0,0.68,0.0,17.04,10.73
309,30.77,24.67,0.0,0.0,4.77,0.0,11.88,9.81
310,27.73,20.63,0.17,0.0,16.42,0.0,3.75,12.03
311,20.92,20.4,0.0,0.0,11.72,0.0,20.43,8.26
312,21.56,16.69,0.07,0.0,0.97,0.0,19.68,18.44
313,29.08,14.48,0.0,0.0,5.98,0.0,11.34,19.27
314,36.21,17.38,0.0,0.0,9.57,0.0,5.41,15.27
315,29.45,16.01,0.05,0.0,21.65,0.0,12.52,7.29
316,31.4,28.66,0.0,0.0,8.56,0.0,5.43,12.77
317,28.66,46.47,0.04,0.01,0.88,0.01,7.96,6.31
318,27.59,31.77,0.32,0.0,3.91,0.0,11.77,11.5
319,30.08,4.9,34.15,0.01,3.21,0.01,12.4,5.9
320,26.65,0.06,29.86,0.0,19.17,0.0,2.93,5.37
321,28.36,12.42,34.18,0.0,0.0,0.0,5.36,10.17
322,28.21,14.77,5.3,0.0,9.93,0.0,19.55,5.83
323,25.34,8.86,13.33,0.0,5.51,0.0,23.65,8.59
324,27.82,21.42,19.33,0.0,10.1,0.0,1.71,8.63
325,28.14,8.09,17.01,0.0,1.5,0.0,13.06,17.12
326,30.33,33.56,0.84,0.0,0.43,0.0,7.53,18.07
327,25.79,38.96,0.0,0.0,0.0,0.0,5.47,18.94
328,33.49,39.04,1.81,0.01,0.01,0.01,7.84,7.2
329,31.36,32.85,0.01,0.01,4.45,0.01,18.82,5.27
330,35.64,15.65,5.84,0.03,0.98,0.03,14.56,11.09
331,28.91,12.76,24.88,0.01,9.39,0.01,9.21,10.52
332,30.0,21.52,7.87,0.01,8.19,0.01,11.33,4.81
333,36.91,38.19,0.27,0.01,5.2,0.01,5.89,8.13
334,34.58,21.44,9.58,0.01,0.33,0.01,8.49,9.47
335,31.04,1.05,29.05,0.02,12.58,0.02,5.71,15.78
336,34.8,0.02,21.58,0.02,0.02,0.02,9.82,12.41
337,27.25,22.07,12.21,0.0,3.23,0.0,13.66,16.23
338,33.76,31.8,0.01,0.0,1.75,0.0,5.29,10.61
339,28.66,29.5,0.0,0.0,10.38,0.0,19.48,8.27
340,27.17,20.51,0.0,0.0,10.63,0.0,17.6,0.58
341,27.28,45.9,0.55,0.0,0.0,0.0,13.95,9.19
342,26.74,5.14,27.63,0.0,0.16,0.0,22.87,3.01
343,33.64,0.0,17.73,0.0,5.9,0.0,14.27,15.31
344,31.53,0.0,15.5,0.0,5.25,0.0,9.5,9.74
345,35.63,9.32,8.21,0.0,8.97,0.0,11.29,13.98
346,21.76,9.3,0.0,0.0,0.0,0.0,17.56,18.62
347,29.62,26.06,0.1,0.0,9.74,0.0,4.68,18.12
348,28.4,30.77,0.0,0.0,0.2,0.0,15.09,3.47
349,21.64,21.24,2.33,0.0,9.26,0.0,23.31,7.46
350,16.28,18.08,0.18,0.0,18.84,0.0,14.25,8.35
351,22.49,7.66,0.02,0.02,24.51,0.02,18.63,10.25
352,22.78,21.3,0.02,0.02,7.03,0.02,11.37,12.06
353,24.39,0.01,18.25,0.0,12.35,0.0,15.3,14.73
354,25.4,0.0,27.67,0.0,2.69,0.0,13.13,8.5
355,21.16,0.01,3.62,0.02,9.98,0.02,24.05,16.36
356,28.66,0.01,6.18,0.0,1.8,0.0,19.78,20.18
357,32.9,3.02,0.01,0.01,3.36,0.01,19.1,17.4
358,27.22,8.42,0.01,0.01,3.75,0.01,28.63,7.08
359,26.68,21.86,0.0,0.0,1.76,0.0,15.71,14.09
360,21.55,0.13,0.01,0.01,3.25,0.01,32.2,14.52
361,43.59,26.76,0.0,0.0,0.31,0.0,13.86,2.0
362,31.52,24.26,0.51,0.0,0.0,0.0,10.79,13.55
363,28.66,17.51,0.07,0.0,0.0,0.0,11.33,23.72
364,29.71,7.31,0.0,0.0,13.2,0.0,12.64,12.95
365,24.09,15.38,0.02,0.0,9.12,0.0,14.64,12.99
366,27.71,25.77,0.37,0.0,14.69,0.0,3.53,9.81
367,22.89,27.51,0.0,0.0,10.68,0.0,14.17,7.45
368,17.77,10.84,0.0,0.0,15.42,0.0,11.5,16.96
369,19.53,35.3,0.0,0.0,4.81,0.0,19.6,3.75
370,34.96,2.69,0.01,0.02,0.02,0.02,23.02,14.89
371,36.81,30.29,0.01,0.01,0.02,0.02,16.22,3.72
372,20.67,14.12,0.0,0.0,14.88,0.0,16.02,10.55
